c1,c2,c3,mu_c,alpha,beta,sigma_c,sigma,s_m_n1,s_m_n2,s_m_n3
0.979235,2.68801,0.328641,3.3235,0.290303,0.975414,2.1313,0.624286,1.20174,0.436134,6.219
0.746324,1.87971,1.1505,3.55023,0.297722,0.992882,3.00702,0.617769,0.943716,0.386718,24.1168
0.896633,3.23747,0.392761,2.24861,0.29174,0.991758,2.10399,0.612349,0.874523,0.515716,8.39775
1.07811,3.50021,-0.165963,2.55491,0.287895,0.995174,1.91098,0.632635,0.988858,0.574809,7.18285
0.988738,2.82466,-0.527842,3.09153,0.284847,0.998937,1.76155,0.63265,1.18917,1.06458,3.73678
0.767353,2.64838,-0.0168292,2.91481,0.294422,0.998959,1.6683,0.635528,1.10851,0.954813,4.29034
0.628885,2.30619,0.122967,2.03428,0.2968,0.995354,2.00704,0.623033,1.56132,1.3014,2.73143
0.568053,2.10311,0.240333,2.21516,0.298508,0.995282,1.87929,0.627769,1.42492,1.10703,2.35039
0.469219,2.67808,0.310918,3.21521,0.306019,0.990014,2.18842,0.629676,1.06014,0.436095,7.6074
0.648813,3.28629,0.330445,3.77294,0.308756,0.9934,2.99585,0.614636,0.731329,0.412683,20.2669
0.616996,2.97049,0.042312,3.57555,0.296926,0.98944,2.56521,0.610259,0.800898,0.35444,10.8281
0.794794,3.54061,-0.0897675,3.34435,0.286807,0.98981,2.75762,0.608182,0.735783,0.536936,24.7013
0.44931,3.34171,0.429412,3.0732,0.278644,0.98414,2.2319,0.602178,0.728748,0.393925,15.5992
0.314823,2.39249,0.98129,3.35404,0.297902,0.98871,2.16422,0.617358,0.880756,0.670782,13.5406
0.218874,2.44494,0.873396,2.93026,0.303692,0.993131,2.66768,0.614061,0.906222,0.174594,5.96893
0.0335697,2.12277,0.933112,2.99785,0.297477,0.993286,2.88257,0.620475,1.26761,0.728586,27.4965
0.158652,2.4445,0.99864,2.62199,0.299007,0.992317,3.28858,0.622154,1.22398,0.202556,19.2341
0.61057,2.54369,0.187755,2.79069,0.296733,0.986601,1.78436,0.613032,1.01577,0.90153,1.64946
0.397977,2.70228,0.744837,3.73789,0.303965,0.995365,2.73923,0.638313,1.10222,0.573192,23.74
0.548707,3.22729,0.744533,2.74802,0.306032,0.981428,3.33813,0.614156,0.824013,0.473467,10.2749
0.267863,1.15057,1.01626,2.68375,0.280329,0.999641,1.84485,0.609411,1.14852,0.751368,10.5029
0.361149,2.33401,1.08535,3.29055,0.297775,0.997758,1.21935,0.626001,1.37173,0.772718,5.6914
0.428817,2.28236,0.510308,3.20179,0.305312,0.988587,2.58955,0.60748,0.938796,0.827334,2.99528
0.370279,1.96147,0.835737,3.54289,0.288397,0.978835,2.21357,0.629316,1.16957,0.69661,5.39018
0.278442,1.81453,1.12719,2.85026,0.302073,0.998652,1.94599,0.610873,1.02089,0.607178,24.1394
0.369175,1.89645,0.648998,2.71377,0.30161,0.998957,1.88409,0.619767,1.03276,0.612212,11.5494
0.462257,1.96084,0.712386,3.70491,0.303047,0.993454,3.0556,0.61308,0.835989,0.549495,16.0215
0.451105,2.17845,0.599373,2.85311,0.294398,0.996859,3.24978,0.621334,0.98161,0.51879,17.2591
0.773237,3.34866,0.35138,3.13376,0.28562,0.962452,1.47589,0.616959,0.832254,0.417427,9.66706
0.443595,2.80463,0.671936,2.43489,0.281004,0.990917,2.0092,0.610561,1.03213,0.632464,21.938
0.460066,3.13179,0.4942,3.16746,0.283166,0.988796,1.78998,0.632109,0.841668,0.397724,5.59614
0.46469,3.42168,0.967723,3.0047,0.282405,0.982302,1.41219,0.622547,0.68887,0.331604,31.5489
1.01993,4.25142,-0.497994,2.70517,0.282231,0.987349,2.09302,0.600364,0.933829,0.613414,5.39977
0.886956,4.05344,-0.267844,2.50686,0.286193,0.983973,2.04449,0.600126,0.907976,0.588358,4.88856
0.183133,2.53741,1.49668,2.67518,0.303688,0.992898,2.35101,0.619441,1.13148,0.442599,16.3102
0.488985,1.81405,0.422288,2.61682,0.288423,0.983237,2.12713,0.608301,1.1619,0.818064,10.3058
0.362407,2.27654,0.893247,3.64194,0.29713,0.998537,2.69309,0.621687,1.0698,0.690495,11.9097
0.479385,3.04161,0.43513,3.65608,0.288674,0.999115,1.90307,0.633088,1.45821,1.18279,15.8474
0.660368,3.65288,0.0265866,2.48341,0.305242,0.998722,1.55973,0.624307,1.77058,1.52424,11.171
0.532912,3.7997,1.20082,3.36202,0.291697,0.998374,2.70606,0.603703,0.862104,0.386772,8.43735
0.64037,3.95215,0.611547,2.43032,0.312733,0.998555,1.73633,0.612949,1.16671,0.71052,20.0736
0.135693,2.89985,1.57469,3.41218,0.289714,0.99931,1.69315,0.618229,1.05265,0.59118,16.6116
0.337786,2.70092,0.574433,2.62231,0.297918,0.999281,2.28537,0.617648,1.03828,0.710306,15.2144
0.308927,2.07253,0.739245,1.82339,0.294376,0.964944,2.65532,0.628466,0.726658,0.384039,13.0798
0.402799,3.06764,0.773198,4.34478,0.309185,0.999107,1.79597,0.618741,1.60817,1.1297,10.7519
0.308295,3.00475,0.880221,2.8984,0.311935,0.998693,2.23077,0.62545,1.20123,0.919065,29.6176
0.359217,3.60513,0.637396,3.98312,0.311108,0.997312,2.72418,0.620825,1.27338,0.536761,9.99532
0.338302,3.71703,0.694019,3.77436,0.303871,0.99551,2.44808,0.616603,1.46099,0.8431,17.9641
0.233674,3.22157,0.837387,2.24346,0.297643,0.991113,1.84391,0.624182,0.710888,0.311228,12.7929
0.423686,2.75617,1.22877,3.60836,0.286098,0.998157,1.79499,0.606022,0.994884,0.53767,4.51008
0.523331,2.32329,0.818948,2.74665,0.304325,0.9972,2.55018,0.609044,0.622015,0.240354,11.9855
0.160687,2.66701,1.37621,1.95699,0.288747,0.996501,2.55441,0.611487,1.19367,0.859354,20.6264
0.356021,1.95623,0.918254,3.46165,0.28137,0.950323,1.71148,0.600431,0.707334,0.343405,10.6044
0.124286,1.44552,1.05339,2.92032,0.272333,0.991926,3.67857,0.613798,0.844154,0.200494,9.30462
0.057165,2.03593,1.34921,3.242,0.295206,0.986603,1.77789,0.620097,1.46289,0.708869,7.79239
0.0440795,1.77444,1.17713,4.05257,0.284812,0.97897,2.37324,0.635165,1.29815,0.11565,3.67099
0.21482,2.301,0.634462,2.20671,0.289323,0.989884,2.25128,0.615532,0.861168,0.657097,1.70762
-0.022349,2.17279,1.52865,3.73946,0.284516,0.961385,2.24982,0.62874,1.69313,1.24322,11.4048
0.109375,2.09144,1.64776,3.1669,0.284758,0.978834,2.04896,0.619762,1.02006,0.648556,2.00987
0.279695,2.40604,1.02943,2.6693,0.272717,0.98361,2.17442,0.615762,1.09332,0.710965,6.50685
0.144419,1.69944,1.35042,3.55835,0.298489,0.987857,1.76989,0.628452,0.97255,0.440533,5.93153
0.401952,1.88366,0.899239,2.97539,0.280187,0.975494,2.67441,0.615777,1.24235,0.895729,23.5334
0.44461,2.36289,0.694968,4.11842,0.30032,0.991523,2.58766,0.623496,1.02782,0.389446,8.05969
0.229567,2.59759,1.2254,2.62191,0.303227,0.984739,1.758,0.616027,1.89438,1.19529,7.84652
0.199077,1.82121,1.30703,2.99138,0.302611,0.992032,1.99565,0.625565,2.18637,1.93186,20.0478
0.10043,2.06786,1.37935,3.76987,0.299889,0.988386,2.42374,0.605488,1.05395,0.551321,7.34702
0.844902,3.43398,0.284111,3.0021,0.285697,0.975559,2.11565,0.633841,1.02397,0.493811,38.1759
0.62073,2.50762,0.43137,3.58713,0.300904,0.992628,2.35392,0.62049,0.620505,0.202287,2.43279
0.644315,2.5426,0.360343,3.58525,0.300072,0.992779,2.36136,0.620162,0.648999,0.210762,2.48544
0.575294,2.29295,0.654943,3.02668,0.302165,0.994958,2.47016,0.61741,0.954739,0.534077,2.59074
0.579184,1.91509,0.304868,3.81764,0.317438,0.997334,2.122,0.61866,0.869288,0.626989,7.96944
0.327387,1.72138,0.804421,2.69045,0.312967,0.993669,1.96698,0.628636,0.846245,0.0637398,18.3991
0.26652,1.42055,0.784265,2.93223,0.304221,0.979999,2.21874,0.618818,0.915824,0.297264,13.4682
0.553761,2.31181,0.741251,4.29368,0.301712,0.997821,3.42477,0.610555,1.21059,0.731775,11.5195
0.479557,1.9989,0.240873,2.27744,0.290038,0.981024,1.60858,0.617108,1.01712,0.563353,4.38212
0.469448,1.76894,0.0667309,3.42653,0.297472,0.993295,1.8253,0.619287,0.910962,0.453035,4.43527
0.564912,1.95121,0.0525718,3.22198,0.289333,0.983586,1.98255,0.616903,1.36181,0.851877,7.39251
0.0269703,1.06732,1.30402,2.22175,0.288793,0.992557,2.11706,0.60889,1.16546,0.911424,4.44657
0.164711,1.3216,1.37329,2.34813,0.303712,0.987098,2.09216,0.616375,1.11447,0.632,6.19155
0.260369,1.10761,1.0007,3.19278,0.302354,0.99288,2.33381,0.623126,0.943859,0.537456,28.6174
0.859413,3.36073,0.678622,2.88425,0.284495,0.983838,2.13515,0.618572,1.04777,0.396381,5.08641
0.949684,3.20525,0.234799,3.12935,0.285392,0.982133,2.27857,0.634703,0.928531,0.1492,7.99196
0.898366,3.83585,0.42158,2.54617,0.27916,0.98828,2.50893,0.625407,0.791936,0.463825,16.9218
1.04625,4.11665,0.34854,2.46085,0.298755,0.998338,3.10925,0.612077,0.799779,0.101025,14.4629
0.81823,3.14678,0.713706,2.85726,0.296467,0.996271,2.12101,0.632909,0.693089,0.0465679,7.81125
0.664919,2.33627,0.211667,3.36709,0.297438,0.983515,2.34268,0.606061,1.10617,1.05244,4.68169
0.640073,3.15452,0.34846,4.66683,0.301512,0.982499,2.61799,0.613906,1.76114,1.66969,5.03209
0.5987,3.05092,0.595882,2.74873,0.306597,0.993863,1.80814,0.630046,1.13442,1.04933,3.42195
0.39872,2.60101,0.63342,3.66735,0.298045,0.991564,2.62233,0.618277,0.932653,0.766742,5.72959
0.436464,2.88279,0.581268,4.30307,0.292963,0.993269,2.14914,0.61984,1.08379,0.457329,31.9996
0.191809,1.74584,1.12935,2.34607,0.283855,0.962833,2.17634,0.634949,0.973845,0.790082,4.46384
-0.0281727,1.36298,1.86749,3.80079,0.281511,0.990538,1.85001,0.596153,1.12691,0.409828,16.5876
-0.0528643,1.33324,1.28572,2.50798,0.298715,0.990963,2.01915,0.605136,1.16064,0.699085,26.5359
-0.0102728,1.48056,1.20477,2.16264,0.298169,0.979211,2.04733,0.596365,1.14452,0.440806,18.1157
-0.0544996,1.76024,1.4133,2.30382,0.294702,0.986467,1.74036,0.61907,1.16231,0.869748,16.7581
0.418258,2.11145,0.846831,4.54467,0.295201,0.988775,3.02573,0.609908,0.711058,0.0484331,15.1042
0.49581,1.51851,1.07075,2.67837,0.299898,0.9785,2.05149,0.620154,0.949673,0.0522706,19.9198
0.27453,0.656832,0.91327,3.55414,0.290181,0.984189,2.38547,0.611879,1.43656,0.0890732,6.68862
0.329411,0.893136,1.07272,3.04718,0.293647,0.984213,1.41368,0.60481,0.889084,0.261387,1.95056
0.394093,1.02811,0.679933,3.44001,0.2991,0.991112,2.02168,0.636021,1.51067,0.316323,5.10273
0.174335,1.84269,1.12271,3.31773,0.299424,0.98788,2.13972,0.612268,0.931786,0.874586,2.02103
0.885892,3.93237,0.0222807,2.98754,0.29837,0.993221,1.84817,0.632633,1.60341,1.35573,7.08691
