c1,c2,c3,alpha,beta,c,s_m_s1,s_m_s2,s_m_s3,s_s1,s_s2
0.866807,4.4554,0.887991,0.810797,0.966881,6.23348,0.442816,-0.407205,7.31169,0.469035,2.17548
0.898737,3.98465,1.20556,0.797796,0.965487,6.08229,0.596561,-1.65847,6.4544,0.473621,2.06517
0.890583,3.98793,1.33331,0.805394,0.952747,6.31182,0.546752,-1.47456,6.45677,0.478598,1.98029
0.7855,3.66789,1.50749,0.777766,0.915791,6.0126,0.544703,-0.442952,7.18899,0.47927,1.96269
0.813347,3.84806,1.33531,0.75983,0.933177,5.92022,0.446577,-0.410819,7.51003,0.482892,2.0913
0.721557,3.72931,1.62625,0.771608,0.927307,6.00943,0.54638,-0.900013,7.03618,0.494881,1.9673
0.803059,3.71842,1.26676,0.78421,0.919578,5.9473,0.267966,-0.524475,7.55924,0.463115,2.3333
0.886903,3.70543,0.963105,0.750804,0.88296,6.07218,0.240328,-0.895905,7.37952,0.463507,2.30784
0.926899,3.85389,0.784008,0.786291,0.939731,5.89892,0.213261,-0.565918,7.74283,0.466395,2.12413
1.05048,4.3113,0.766485,0.746672,0.88873,5.89544,0.662423,-1.26723,6.53189,0.46172,2.32159
0.929709,4.21593,1.05518,0.817211,0.972375,6.22501,0.185212,-0.486062,7.70068,0.465743,2.0886
0.970628,4.34966,0.998364,0.794995,0.934229,6.36969,0.179111,-0.654503,7.60119,0.460307,2.18117
0.947138,4.0787,0.966444,0.811949,0.981265,6.22794,0.190134,-0.587027,7.53475,0.45616,2.29008
0.796135,3.44178,1.01707,0.796948,0.954758,6.35076,0.690509,-0.818353,7.16064,0.493527,2.00482
0.790126,3.44912,1.06057,0.804764,0.952518,6.28571,0.570599,-0.858911,7.1438,0.492864,1.91475
0.878015,3.45106,0.541671,0.773809,0.907155,6.09,0.518595,-0.924145,6.81319,0.452561,2.2669
0.734197,3.46368,0.984144,0.856276,0.986243,6.42271,0.415818,-0.541882,7.07425,0.480765,2.01068
0.667568,3.47717,0.899185,0.854442,0.98366,6.27846,0.614551,-0.964026,6.86926,0.486949,2.23611
0.789327,3.4495,0.825694,0.817052,0.94082,6.46241,0.480069,-0.821532,7.3278,0.48173,2.11667
0.814651,3.34841,0.769411,0.801635,0.976705,6.45323,0.40491,-0.672378,6.93597,0.477865,2.14713
0.742482,3.67146,1.10386,0.794839,0.939706,6.02213,0.383627,-0.699386,7.20052,0.464792,2.22813
0.591066,3.35047,1.40715,0.772717,0.909757,5.9285,0.390341,-0.751909,7.12291,0.486059,2.10546
0.680291,3.32738,1.43594,0.81991,0.971258,6.263,0.387955,-0.490957,6.9186,0.474415,2.15511
0.66973,3.28319,1.41525,0.770401,0.915536,5.96107,0.428553,-0.343405,8.14064,0.483407,2.0086
0.883733,3.63244,1.31618,0.828728,0.986153,6.5097,0.526314,-2.65368,6.46851,0.470532,2.2676
0.870015,3.7322,1.14705,0.865474,0.995513,6.28563,0.677402,-1.14806,6.22737,0.480284,2.22339
0.844765,3.56532,1.35003,0.815712,0.983819,6.69,0.703017,-1.36326,6.38992,0.459348,2.19483
0.843556,3.99295,1.22198,0.818314,0.951128,6.08058,0.392798,-0.671204,7.30626,0.467784,2.16292
0.978019,4.08289,1.01566,0.823551,0.982654,6.33233,0.401993,-0.995224,6.9532,0.481491,2.0587
0.896038,3.96821,0.994071,0.864636,0.993257,6.38022,0.314042,-0.589311,7.20255,0.473908,2.32125
0.967061,4.1299,0.834637,0.808541,0.966623,6.23839,0.4729,-1.19034,6.97907,0.475988,2.07541
0.829593,3.96371,1.06213,0.781437,0.933553,6.19795,0.37025,-0.920203,7.19165,0.469128,2.16896
0.873175,4.1618,1.1763,0.819417,0.966004,6.23957,0.272027,-0.683483,7.47166,0.459315,2.28813
0.884204,3.78568,1.15691,0.80202,0.952885,6.31846,0.436168,-0.735174,7.2462,0.461405,2.25511
0.784044,3.63019,1.50181,0.829079,0.983546,6.19927,0.563946,-0.296237,7.20345,0.468744,2.2732
0.619194,3.00117,1.83934,0.812613,0.968279,6.45998,0.366652,-1.50735,7.09449,0.491107,1.95402
0.634972,3.28278,1.52643,0.802512,0.954406,6.14344,0.461533,-0.479783,7.07427,0.486086,2.04735
0.76272,3.2634,1.12867,0.769866,0.932173,6.18453,0.594274,-0.551232,7.16883,0.474164,2.12627
0.731262,3.20576,1.25141,0.775531,0.946752,6.00451,0.587679,-0.451705,7.30615,0.479441,2.04051
0.761847,3.25083,1.29946,0.761945,0.901334,5.92971,0.470092,-0.592146,6.50939,0.485994,2.0668
0.690146,2.94241,1.47308,0.736266,0.874274,5.90712,0.748371,-0.525951,6.691,0.477178,1.98427
0.574553,2.88521,1.21871,0.845495,0.987447,6.5285,0.218051,-0.778544,7.42104,0.476868,2.13395
0.537946,2.9913,2.06447,0.794775,0.919294,6.13256,0.56377,-0.643273,7.08945,0.468418,2.28436
0.557588,3.01102,2.0725,0.791662,0.93952,6.17702,0.491527,-0.681175,7.12905,0.485694,2.00067
0.549524,3.2267,1.96255,0.811675,0.935906,6.16131,0.454138,-0.784849,7.07133,0.483664,2.13472
0.583318,3.32128,1.72316,0.813827,0.965415,5.99893,0.465298,-0.541035,7.20927,0.471678,2.2403
0.632279,3.47923,1.69221,0.817401,0.954528,6.12555,0.362195,-0.38429,7.50043,0.466648,2.0993
0.813755,4.26998,1.25141,0.796317,0.958011,6.02758,0.483511,-1.41707,6.96122,0.469067,2.11179
0.807615,4.24677,1.25219,0.798559,0.960455,6.03864,0.482704,-1.33858,6.95328,0.468253,2.10424
0.809197,4.15682,0.988684,0.832459,0.967352,6.17228,0.364249,-0.51442,7.57821,0.45545,2.24069
0.815801,4.03992,0.918706,0.813605,0.965193,6.3268,0.594998,-0.65199,6.70453,0.485853,2.15308
0.717921,3.94975,1.09015,0.784064,0.926302,6.045,0.344547,-1.15909,7.31201,0.473071,2.16044
0.779089,3.89629,1.31041,0.759144,0.902052,6.08421,0.651676,-0.714258,7.00101,0.460796,2.25724
0.716959,3.83724,1.51991,0.781672,0.928422,5.94178,0.446028,-0.937887,6.49072,0.459223,2.30314
0.876711,3.58668,0.942816,0.807602,0.963858,6.14114,0.38136,-0.511353,7.4624,0.483925,2.12925
0.829054,3.61539,1.08191,0.790155,0.929276,6.14672,0.373831,-0.204972,7.94021,0.466143,2.12988
0.555976,2.90083,1.6482,0.817188,0.964125,6.29995,0.462436,-1.10816,6.82638,0.464845,2.22844
0.55712,2.73199,1.57891,0.811551,0.954442,6.12182,0.289216,-1.05607,7.38373,0.469386,2.12829
0.571144,2.71581,1.43125,0.795736,0.935919,6.3222,0.671435,-0.955382,6.8859,0.456506,2.36196
0.629146,2.96513,1.39477,0.811744,0.955084,6.2615,0.375091,-0.544724,7.23176,0.459162,2.3037
0.513699,2.69905,1.79666,0.801614,0.935738,6.00168,0.407913,-0.964444,7.23214,0.471471,2.16721
0.623273,3.13963,1.45738,0.804742,0.985149,6.38391,0.372932,-0.589054,7.4314,0.485404,1.99975
0.473984,2.9633,1.45082,0.796566,0.966158,6.18383,0.388792,-0.623628,7.20405,0.460785,2.24418
0.508759,3.09002,1.31916,0.815159,0.961366,6.2345,0.489614,-0.780589,6.89659,0.463698,2.20048
0.40259,3.0297,1.43676,0.814337,0.960093,6.53657,0.543531,-0.393374,7.3645,0.470958,2.32762
0.551155,3.35903,1.11661,0.757339,0.894852,5.99514,0.431812,-0.893062,7.05996,0.48645,1.95521
0.808714,3.95031,1.07254,0.750954,0.894207,6.00912,0.324022,-0.743094,7.44297,0.459246,2.3749
0.572885,4.21257,0.996106,0.797118,0.952658,5.94887,0.478475,-1.22296,6.98882,0.484471,2.06485
0.645399,4.27335,0.656839,0.781101,0.918656,6.14702,0.562683,-0.528529,7.2517,0.471154,2.16329
0.766087,3.80074,0.713513,0.830524,0.971831,6.26705,0.594979,-1.39949,6.3184,0.488023,2.08846
0.723184,3.56814,0.922111,0.814468,0.973355,6.44776,0.428619,-0.995722,6.87823,0.473345,2.02689
0.740805,3.92577,1.31486,0.765087,0.921915,6.0497,0.272986,-0.533064,7.41605,0.477445,2.1101
0.702388,3.95191,1.33772,0.772362,0.928588,6.06089,0.224134,-0.69103,7.8795,0.492997,2.07807
0.746155,4.11376,1.31171,0.763456,0.884871,5.95801,0.50304,-0.940845,6.27497,0.479764,2.17006
0.771164,4.0561,1.33822,0.748155,0.887887,5.93198,0.54936,-1.21168,6.32275,0.469615,2.06624
0.737992,4.01584,1.33993,0.74244,0.885778,5.80982,0.585673,-1.1357,6.39334,0.473779,2.13975
0.729105,3.34497,1.10646,0.81642,0.967536,6.41524,0.242022,-0.613408,7.40635,0.476639,2.23155
0.729232,3.14358,1.32258,0.827482,0.964515,6.26162,0.418848,-0.97151,6.89669,0.470419,2.2095
0.741879,3.33743,1.2467,0.802108,0.961295,6.24577,0.278503,-0.502964,7.35172,0.492263,1.92808
0.841674,3.60233,0.983891,0.837424,0.954489,6.33874,0.498447,-0.727377,7.03007,0.483801,2.00449
0.750075,3.68954,1.22079,0.750449,0.920113,5.88436,0.388819,-0.893282,7.36199,0.481172,2.10473
0.741715,3.58379,1.14946,0.742847,0.906636,5.89605,0.334042,-0.842323,7.54484,0.482774,2.1279
0.734616,3.51369,1.21857,0.674975,0.835698,5.41647,0.474455,-0.351348,7.05362,0.461064,2.05778
0.758469,3.53565,1.13724,0.749995,0.903977,5.83465,0.369462,-0.269513,8.29193,0.496796,1.98194
0.716206,3.88606,1.19869,0.743154,0.901736,5.91019,0.462818,-1.92402,6.97727,0.474718,2.27226
0.719165,3.74145,1.54459,0.798507,0.945843,6.27043,0.559696,-0.7177,6.79306,0.484495,2.10581
0.751998,3.93109,1.51618,0.784767,0.915924,6.31481,0.615514,-0.927602,6.71741,0.479326,2.08821
0.648954,3.48095,1.63786,0.794114,0.960345,6.30443,0.305131,-0.63844,7.5286,0.469063,2.18651
0.645487,3.92184,1.57708,0.781232,0.91724,6.11702,0.55581,-0.820804,6.41451,0.47344,2.21434
0.696625,4.04174,1.47916,0.817294,0.962972,6.13798,0.409821,-0.892904,7.21071,0.446653,2.29421
0.9585,4.90853,1.02217,0.835219,0.961185,6.4453,0.528811,-2.26636,6.58976,0.468241,2.38726
0.847447,4.19598,1.21237,0.806175,0.967749,6.297,0.43448,-1.13633,7.17991,0.471068,2.08247
1.05029,4.76508,0.883951,0.814592,0.97207,6.32174,0.71658,-0.55546,7.10556,0.46935,2.14404
1.06012,4.76549,0.830331,0.804142,0.980734,6.37994,0.645095,-0.6428,7.19973,0.470414,2.1624
0.914725,4.16547,1.15033,0.848308,0.992281,6.4311,0.360665,-1.66936,7.14885,0.469085,2.13119
0.949169,4.04091,1.16768,0.83697,0.976811,6.52578,0.572662,-0.583061,7.04379,0.483002,2.20484
