c1,c2,c3,mu_c,alpha,beta,sigma_c,s_m_r,s_r1,s_r2
0.257503,1.05719,1.00736,1.91077,0.553102,0.941075,1.70108,0.63745,0.548572,1.17361
0.360362,1.03761,0.488453,2.4293,0.595022,0.93115,1.89147,0.418179,0.531912,1.38811
0.400562,1.21714,0.792966,1.02504,0.631297,0.94033,2.32122,0.575744,0.523996,1.47388
0.321715,1.2254,1.25167,1.41742,0.62058,0.908244,1.76869,0.495634,0.538254,1.43953
0.333105,1.18689,1.09853,3.00233,0.57941,0.939853,1.79072,0.544047,0.520564,1.19101
0.395371,1.35797,0.969626,1.80337,0.626206,0.955727,1.88345,0.475975,0.538065,1.39098
0.512821,1.28795,1.44222,2.0712,0.54493,0.892282,1.86006,0.727951,0.523083,1.41827
0.733492,1.57384,0.417718,2.23735,0.455171,0.864165,1.58856,0.687072,0.551089,1.09581
0.432123,1.16903,0.952034,1.78117,0.469144,0.867295,1.06254,0.422747,0.53601,1.24928
0.509969,1.3499,1.2484,2.67055,0.496069,0.834592,2.17908,0.656479,0.555845,1.35156
0.548624,1.31771,0.449423,2.30867,0.527047,0.916846,2.0288,0.537648,0.569668,1.25694
0.422428,1.29153,0.708107,1.58303,0.444047,0.732803,1.54712,0.421175,0.508398,1.39438
0.262046,1.05952,1.41902,2.82044,0.551353,0.979503,1.68186,0.605161,0.5385,1.33674
0.500064,1.44105,0.135942,2.25959,0.509771,0.834864,1.2589,0.454749,0.54076,1.34835
0.104764,0.822296,0.885794,2.21289,0.505973,0.90602,1.63514,0.660062,0.556214,1.11086
0.0549142,0.838722,0.973679,2.14252,0.510349,0.934706,1.85149,0.671719,0.554572,1.15343
0.260489,0.884853,0.663458,2.13708,0.532596,0.920598,1.15964,0.67964,0.545645,1.21424
0.564474,1.43651,0.856299,2.23791,0.370184,0.671516,1.44691,0.364655,0.579428,1.26135
0.333248,1.01525,0.9419,1.67323,0.497865,0.854782,1.54225,0.60296,0.560253,1.17721
0.362672,1.14563,1.00529,2.28106,0.508278,0.88778,1.67599,0.470558,0.538325,1.23726
0.254702,1.11913,1.02831,1.9508,0.573502,0.927025,2.28917,0.603627,0.528702,1.23172
0.00313948,0.801492,1.54686,2.76995,0.541174,0.956896,1.6609,0.553041,0.543479,1.49684
-0.107302,0.413568,1.60735,2.386,0.559562,0.889432,2.00065,0.763392,0.53823,1.37732
0.50409,1.0406,0.572201,2.01695,0.602265,0.911215,1.45057,0.528602,0.526301,1.46647
0.214758,1.28056,1.09767,2.60081,0.526274,0.828513,2.19372,0.51917,0.56427,1.24391
0.23407,1.10407,0.796685,1.40599,0.536263,0.866752,1.23734,0.507736,0.537844,1.39842
0.14012,1.04784,0.952267,2.3518,0.529542,0.918649,1.83573,0.711744,0.546033,1.23437
0.382743,1.22511,0.728757,1.92906,0.458456,0.798692,1.77043,0.406024,0.540371,1.41244
0.72479,1.49535,0.411639,2.47883,0.629584,0.987918,1.9074,0.741231,0.535783,1.43591
0.457343,1.12241,1.06683,1.78891,0.484128,0.753236,1.63272,0.463946,0.507724,1.62381
0.73167,1.56925,0.829581,2.31829,0.551597,0.949722,1.71232,0.448647,0.58302,0.920047
0.450159,1.14996,0.766757,2.1692,0.541503,0.882898,2.07212,0.602189,0.507124,1.53395
0.471945,1.25817,0.660869,2.38214,0.547286,0.803685,2.75494,0.562859,0.516901,1.81848
0.513318,1.32641,0.788564,3.5464,0.594996,0.940644,2.62255,0.495923,0.521183,1.33998
0.798356,1.75433,0.548,1.28333,0.565054,0.971655,1.86476,0.651729,0.525702,1.48077
0.505756,1.27425,0.748032,3.25099,0.535292,0.915077,1.77374,0.571486,0.546622,1.41428
-0.0479773,0.982619,1.21826,1.95912,0.431685,0.685183,1.66801,0.460384,0.53845,1.17119
-0.0882157,0.914967,1.33844,1.97276,0.369918,0.610501,1.45695,0.507436,0.536049,1.23378
0.500323,1.19502,0.454101,1.6563,0.631211,0.988934,2.22715,0.507768,0.54996,1.52822
0.814455,1.41515,0.0908779,3.27488,0.566863,0.829221,1.99063,0.574333,0.544739,1.66222
0.505503,1.25368,0.692705,1.38964,0.601531,0.936912,1.63052,0.52311,0.548436,1.56572
0.74098,1.43394,0.182631,2.24901,0.503306,0.8264,1.54675,0.482373,0.522662,1.35255
0.389062,1.20207,0.810293,2.30771,0.60575,0.977072,2.32788,0.490016,0.526723,1.37784
0.358114,1.23473,1.2435,1.55349,0.481954,0.799127,1.61899,0.613327,0.546425,1.44071
0.501479,1.32007,0.683691,2.49743,0.452822,0.823832,1.62224,0.558039,0.559799,1.05045
0.590019,1.41857,0.34897,1.89529,0.494847,0.866573,1.55192,0.4473,0.544515,1.30295
0.391711,1.26208,1.3238,2.35075,0.560736,0.961117,2.26871,0.56323,0.537103,1.39538
0.283366,1.3412,1.51133,2.11135,0.5083,0.869772,1.53101,0.587607,0.523024,1.3907
0.612409,1.48957,0.482602,1.94669,0.572075,0.886423,2.07695,0.883204,0.533683,1.48859
0.807974,1.61657,0.253041,1.66905,0.514467,0.829773,1.56138,0.468014,0.548737,1.19936
0.694489,1.55215,0.354025,1.83404,0.511083,0.911136,1.42514,0.531539,0.54671,1.28189
0.695732,1.54135,0.615646,2.20224,0.520305,0.909504,1.9072,0.513124,0.544052,1.38767
0.338344,1.03008,1.12916,1.97637,0.418885,0.847065,1.19607,0.471247,0.564516,1.04036
0.300342,1.38951,0.697682,2.40429,0.547519,0.881889,2.54488,0.645734,0.495047,1.69696
0.25729,1.29721,0.968931,1.6538,0.490718,0.857389,1.4116,0.468671,0.57614,1.03924
0.775463,1.30268,0.494774,2.46265,0.537014,0.874708,2.32685,0.662732,0.522051,1.57569
0.765115,1.22741,0.450809,1.79666,0.606885,0.957625,1.46204,0.652311,0.533094,1.31799
0.690293,1.2961,0.798979,1.76633,0.453379,0.801304,1.83327,0.48173,0.549271,1.22476
0.607484,1.36525,0.309264,2.46027,0.497447,0.907607,1.19521,0.563563,0.560846,1.10618
0.170789,0.99878,0.491189,2.06406,0.555994,0.874012,2.24847,0.550643,0.521129,1.50852
0.0641772,1.13977,0.917713,2.19275,0.559704,0.937542,1.84366,0.688583,0.557846,1.24329
0.131309,1.11718,0.924354,1.26653,0.511547,0.809509,1.24899,0.460504,0.541724,1.53405
-0.106676,0.691546,0.959965,2.6968,0.501936,0.908355,2.36708,0.687762,0.558981,1.18212
-0.0141568,1.17491,1.08052,1.50189,0.570868,0.866062,1.8643,0.536084,0.52901,1.47286
-0.0586889,1.19223,1.13119,1.91699,0.504097,0.848533,1.2377,0.518236,0.572543,1.2482
0.316927,1.22141,0.962811,1.54771,0.56336,0.981361,2.07291,0.669295,0.533654,1.25765
0.807243,1.71613,0.627193,1.3981,0.479967,0.841471,1.89496,0.579037,0.556064,1.296
0.478889,1.30075,0.894367,2.92581,0.562933,0.979237,1.83157,0.551732,0.553845,1.14737
0.449747,1.45701,0.868871,1.69243,0.525779,0.833975,1.45249,0.483379,0.528061,1.539
0.29261,1.2569,0.974952,2.22239,0.515174,0.970952,1.09575,0.665948,0.556119,1.14407
0.580393,1.64057,0.814933,2.18183,0.46499,0.819612,2.01354,0.48071,0.546297,1.39993
0.481743,1.1673,0.513893,2.11895,0.598186,0.99345,1.84705,0.593764,0.551421,1.23377
0.507435,1.15384,0.712012,2.85116,0.4839,0.739428,2.31683,0.47874,0.510265,1.51054
0.274389,0.938095,0.981755,1.54398,0.547519,0.937117,1.1929,0.572782,0.557592,1.14148
0.12424,0.717171,1.06767,2.44853,0.372594,0.668675,1.6171,0.660651,0.551989,1.15156
0.578646,1.5514,0.341443,1.94783,0.652596,0.985001,1.70327,0.572516,0.509736,1.53868
0.445953,1.40607,0.453448,3.52088,0.559074,0.929976,2.6098,0.58374,0.51808,1.66472
0.520088,1.32397,1.19631,1.94629,0.547762,0.871932,1.41214,0.447197,0.531546,1.34835
0.709598,1.43767,0.91453,1.65487,0.642765,0.962487,1.57941,0.689514,0.510228,1.81498
0.775043,1.32088,1.09493,2.73506,0.399432,0.702832,1.55371,0.562029,0.551758,1.05204
0.81548,1.43884,1.19191,2.1786,0.446703,0.824853,1.81274,0.746338,0.583088,0.888652
0.686208,1.3566,1.05727,2.9281,0.434573,0.896509,1.58659,0.606456,0.563695,0.897261
0.698294,1.53533,0.819715,1.83186,0.547855,0.869517,1.36613,0.528107,0.535523,1.31177
0.660564,1.52241,0.664349,1.95685,0.544934,0.908505,1.92864,0.504678,0.533208,1.41746
0.395582,1.19821,0.5118,2.31982,0.60992,0.896102,1.88827,0.471869,0.539922,1.48955
0.363531,1.28636,0.519926,1.98792,0.546708,0.922133,2.21619,0.502222,0.537102,1.21475
0.294887,0.980242,0.881772,1.0337,0.499525,0.820383,1.69801,0.470878,0.539707,1.2995
0.576679,1.43166,0.813125,2.85484,0.532867,0.910223,2.18994,0.570139,0.542684,1.16121
0.57758,1.6525,0.556089,1.88306,0.473588,0.861716,1.27602,0.517953,0.539953,1.08711
0.488509,1.60116,0.777261,1.57195,0.533305,0.841674,1.35774,0.613031,0.555055,1.23488
0.510043,1.57561,0.442887,2.69813,0.610378,0.863318,1.78914,0.541545,0.54011,1.65611
0.274857,1.18777,1.36889,1.93587,0.474531,0.866055,1.39134,0.521299,0.556802,1.19332
0.664923,1.63644,0.523358,2.09796,0.452572,0.733691,1.59574,0.62217,0.534706,1.61989
0.294144,1.08331,0.923429,2.08533,0.631855,0.983532,2.61304,0.443981,0.544262,1.17225
0.360939,1.13111,0.783736,2.39493,0.61372,0.977934,2.3513,0.412028,0.584691,1.40703
0.334594,1.18098,0.754807,1.76493,0.589625,0.962264,1.68828,0.638924,0.528701,1.13983
0.421292,1.32651,0.558609,1.87655,0.59291,0.948133,1.97658,0.648504,0.536067,1.34421
0.40675,1.20439,1.04937,2.35742,0.577013,0.97217,2.02542,0.687688,0.526473,1.54334
0.349081,1.36403,0.832112,2.15885,0.590343,0.870154,2.0671,0.523279,0.545199,1.47094
